"","Year","Product.line","Product.type","Product","Order.method.type","Retailer.country","Revenue","Planned.revenue","Product.cost","Quantity","Unit.cost","Unit.price","Gross.profit","Unit.sale.price"
"21177",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Australia",67176.26,80398,32254.44,12200,2.79333333,6.59,34921.82,5.94333333
"21178",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Netherlands",67793.85,113104.17,36213.93,17163,2.11,6.59,31579.92,3.95
"21179",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Sweden",14923.84,15710.56,6985.12,2384,2.93,6.59,7938.72,6.26
"21182",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","France",101396.68,138574.52,50984.84,21028,2.65666667,6.59,50411.84,5.46666667
"21184",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","United Kingdom",16186.85,17232.85,7661.95,2615,2.93,6.59,8524.9,6.19
"21187",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Austria",72312.88,87370.22,34785.3,13258,2.79333333,6.59,37527.58,5.95333333
"21189",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Spain",18056.23,19223.03,8546.81,2917,2.93,6.59,9509.42,6.19
"21190",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","United States",69334.67,103443.23,35804.53,15697,2.52,6.59,33530.14,5.07
"21191",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Canada",13596.72,14313.48,6363.96,2172,2.93,6.59,7232.76,6.26
"21192",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Mexico",146031.63,178140.88,71282.56,27032,2.81285714,6.59,74749.07,5.89
"21195",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Korea",84931.91,113802.71,42558.07,17269,2.65666667,6.59,42373.84,5.44333333
"21196",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","China",26839.84,28574.24,12704.48,4336,2.93,6.59,14135.36,6.19
"21198",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Australia",30713.22,31882.42,14175.34,4838,2.93,6.59,16537.88,6.35
"21199",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Netherlands",16323.03,17377.83,7726.41,2637,2.93,6.59,8596.62,6.19
"21201",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Finland",15889.73,16916.53,7521.31,2567,2.93,6.59,8368.42,6.19
"21202",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Denmark",13177.3,13871.95,6167.65,2105,2.93,6.59,7009.65,6.26
"21203",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","France",32162.73,33483.79,14887.33,5081,2.93,6.59,17275.4,6.33
"21204",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Germany",73146.81,90744.3,35625.36,13770,2.766,6.59,37521.45,5.826
"21206",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Belgium",59060.34,74625.16,28885.8,11324,2.725,6.59,30174.54,5.7175
"21207",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Switzerland",53889.86,77999.24,27406.9,11836,2.52,6.59,26482.96,5.155
"21209",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Italy",36533.38,38894.18,17292.86,5902,2.93,6.59,19240.52,6.19
"21211",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","United States",554967.43,687297.46,271614.56,104294,2.78862069,6.59,283352.87,5.85310345
"21212",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Canada",291577.33,339754.04,139962.84,51556,2.848,6.59,151614.49,6.036
"21213",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Mexico",67025.7,70994.07,31564.89,10773,2.93,6.59,35460.81,6.225
"21214",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Brazil",164688.53,199624.28,79513.34,30292,2.79333333,6.59,85175.19,5.92666667
"21215",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Japan",317350.22,376967.77,153920.63,57203,2.83352941,6.59,163429.59,5.94294118
"21216",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Korea",238524.44,288404.76,116377.06,43764,2.83888889,6.59,122147.38,5.94111111
"21217",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","China",319607.51,383887.27,155680.21,58253,2.83888889,6.59,163927.3,5.94111111
"21218",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Singapore",209527.16,279442.36,104858.92,42404,2.69571429,6.59,104668.24,5.55
"21219",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Australia",36637.21,53214.25,18671.69,8075,2.52,6.59,17965.52,5.14
"21220",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Netherlands",92534.31,98513.91,43800.57,14949,2.93,6.59,48733.74,6.19
"21221",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Sweden",61558.64,64384.3,28626.1,9770,2.93,6.59,32932.54,6.302
"21222",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Finland",235815.55,297255.13,116213.69,45107,2.78090909,6.59,119601.86,5.78909091
"21223",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Denmark",36366.25,38716.25,17213.75,5875,2.93,6.59,19152.5,6.19
"21224",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","France",152709.6,171089.58,72299.94,25962,2.86166667,6.59,80409.66,6.1125
"21225",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Germany",179657.46,234419.48,88999.38,35572,2.725,6.59,90658.08,5.68666667
"21226",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","United Kingdom",329589.19,405377.26,160662.62,61514,2.78090909,6.59,168926.57,5.845
"21227",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Belgium",114996.03,139549.84,55592.28,21176,2.8275,6.59,59403.75,6.015
"21228",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Switzerland",65256.01,68134.01,30293.27,10339,2.93,6.59,34962.74,6.315
"21229",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Austria",84091.3,103028.06,40782.66,15634,2.79333333,6.59,43308.64,5.91
"21230",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Italy",113147.01,120458.61,53557.47,18279,2.93,6.59,59589.54,6.19
"21231",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Spain",218095.49,273979.25,107445.07,41575,2.766,6.59,110650.42,5.742
"21232",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","United States",20631.27,21964.47,9765.69,3333,2.93,6.59,10865.58,6.19
"21234",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Mexico",29909.4,49899.48,15976.92,7572,2.11,6.59,13932.48,3.95
"21239",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Singapore",63905.56,68035.16,30249.32,10324,2.93,6.59,33656.24,6.19
"21240",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Australia",9564.63,9957.49,4427.23,1511,2.93,6.59,5137.4,6.33
"21251",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Italy",34669.15,57840.43,18519.47,8777,2.11,6.59,16149.68,3.95
"21253",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","United States",35850.2,59810.84,19150.36,9076,2.11,6.59,16699.84,3.95
"21254",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","Canada",13525.15,14399.15,6402.05,2185,2.93,6.59,7123.1,6.19
"21262",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","Netherlands",28792.56,30340.36,13489.72,4604,2.93,6.59,15302.84,6.29
"21267",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","Germany",9427.37,10036.57,4462.39,1523,2.93,6.59,4964.98,6.19
"21275",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Canada",23115.65,24211.66,10764.82,3674,2.93,6.59,12350.83,6.295
"21278",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Japan",59976.71,63323.31,28154.37,9609,2.93,6.59,31822.34,6.2425
"21284",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Sweden",48912.85,81603.97,26128.13,12383,2.11,6.59,22784.72,3.95
"21288",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Germany",69787.54,73728.92,32780.84,11188,2.93,6.59,37006.7,6.23666667
"21293",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Italy",88273.31,123002.35,44708.23,18665,2.65666667,6.59,43565.08,5.44333333
"21295",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","United States",21076.95,22438.95,9976.65,3405,2.93,6.59,11100.3,6.19
"21299",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","Japan",40631.47,59870.15,20804.43,9085,2.52,6.59,19827.04,5.14
"21304",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","Netherlands",31349.23,33200.42,14761.34,5038,2.93,6.59,16587.89,6.225
"21308",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","France",57710.27,80411.18,29080.34,12202,2.65666667,6.59,28629.93,5.51333333
"21315",2005,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","Spain",12191.58,12692.34,5643.18,1926,2.93,6.59,6548.4,6.33
"21316",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","United States",141614.79,159983.04,76659.16,12768,6.14857143,12.53,64955.63,11.30142857
"21317",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Canada",13702.17,14271.67,7540.18,1139,6.62,12.53,6161.99,12.03
"21320",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Japan",12453.4,17792.6,6276.4,1420,4.42,12.53,6177,8.77
"21321",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Korea",23739,24608.92,13001.68,1964,6.62,12.53,10737.32,12.09
"21323",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Singapore",26992.4,33856.06,14167.04,2702,5.52,12.53,12825.36,10.4
"21324",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Australia",17199.63,20411.37,9026.18,1629,5.88666667,12.53,8173.45,11.11
"21325",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Netherlands",40952,47112.8,21811.2,3760,6.07,12.53,19140.8,11.305
"21329",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","France",60665.26,69190.66,32470.24,5522,6.13111111,12.53,28195.02,11.37333333
"21331",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","United Kingdom",13653.07,15599.85,7282.7,1245,5.88666667,12.53,6370.37,11.02333333
"21334",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Austria",5796.97,8282.33,2921.62,661,4.42,12.53,2875.35,8.77
"21336",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Spain",9173.25,9460.15,4998.1,755,6.62,12.53,4175.15,12.15
"21337",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","United States",28676.43,35209.3,15014,2810,5.88666667,12.53,13662.43,11.06666667
"21339",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Mexico",100056.55,108397.03,53980.62,8651,6.4,12.53,46075.93,11.812
"21342",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Korea",14961.62,21376.18,7540.52,1706,4.42,12.53,7421.1,8.77
"21343",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","China",31037.4,32327.4,17079.6,2580,6.62,12.53,13957.8,12.03
"21345",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Australia",10978.32,11201.82,5918.28,894,6.62,12.53,5060.04,12.28
"21349",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Denmark",6548.85,6753.67,3568.18,539,6.62,12.53,2980.67,12.15
"21350",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","France",5182.16,5287.66,2793.64,422,6.62,12.53,2388.52,12.28
"21351",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Germany",19612.92,20160.77,10651.58,1609,6.62,12.53,8961.34,12.19333333
"21353",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Belgium",14282.07,17729.95,7473.1,1415,5.52,12.53,6808.97,10.46
"21354",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Switzerland",25806.3,28831.53,13697.02,2301,6.18,12.53,12109.28,11.578
"21355",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Austria",6791.85,7004.27,3700.58,559,6.62,12.53,3091.27,12.15
"21356",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Italy",10473.3,10800.86,5706.44,862,6.62,12.53,4766.86,12.15
"21358",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","United States",264150.06,286435.8,142929.2,22860,6.39241379,12.53,121220.86,11.79758621
"21359",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Canada",105258.45,112105.91,56943.34,8947,6.47333333,12.53,48315.11,11.93333333
"21360",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Mexico",19201.02,24057.6,10024.2,1920,5.52,12.53,9176.82,10.46
"21361",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Brazil",75914.3,83512.45,40714.5,6665,6.25333333,12.53,35199.8,11.61916667
"21362",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Japan",174251.92,192410.68,93635.52,15356,6.27263158,12.53,80616.4,11.61631579
"21363",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Korea",116159.62,127054.2,62966.6,10140,6.37555556,12.53,53193.02,11.70777778
"21364",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","China",170196.65,193500.79,91866.26,15443,6.18,12.53,78330.39,11.365
"21365",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Singapore",124684.98,135574.6,67556.2,10820,6.4,12.53,57128.78,11.764
"21366",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Australia",35598.35,39269.02,18982.68,3134,6.25333333,12.53,16615.67,11.67333333
"21367",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Netherlands",46315.8,47764.36,25235.44,3812,6.62,12.53,21080.36,12.15
"21368",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Sweden",46851.36,48190.38,25460.52,3846,6.62,12.53,21390.84,12.18714286
"21369",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Finland",120157.71,133507.15,64563.1,10655,6.25333333,12.53,55594.61,11.57666667
"21370",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Denmark",14178.95,17780.07,7442.38,1419,5.52,12.53,6736.57,10.4
"21371",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","France",66948.42,71395.94,36077.36,5698,6.4,12.53,30871.06,11.864
"21372",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Germany",93371.89,102532.99,50088.26,8183,6.30571429,12.53,43283.63,11.705
"21373",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","United Kingdom",155872.26,171886.54,83537.76,13718,6.30571429,12.53,72334.5,11.71047619
"21374",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Belgium",68102.79,73751.58,36705.92,5886,6.4,12.53,31396.87,11.825
"21375",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Switzerland",31051.98,33943.77,16604.78,2709,6.30571429,12.53,14447.2,11.74285714
"21376",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Austria",60179.93,64817.69,32238.86,5173,6.4,12.53,27941.07,11.903
"21377",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Italy",44138.73,45646.79,24116.66,3643,6.62,12.53,20022.07,12.12
"21378",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Spain",93853.15,103986.47,50396.38,8299,6.18,12.53,43456.77,11.474
"21379",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Special","United States",10864.7,11439.89,6044.06,913,6.62,12.53,4820.64,11.9
"21400",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","United States",11839.5,16915.5,5967,1350,4.42,12.53,5872.5,8.77
"21401",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Canada",13134.15,13544.93,7156.22,1081,6.62,12.53,5977.93,12.15
"21408",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Australia",5440.04,5550.79,2932.66,443,6.62,12.53,2507.38,12.28
"21409",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Netherlands",13712.74,16414.3,7237.8,1310,5.52,12.53,6474.94,10.46
"21414",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Germany",11532.78,11953.62,6315.48,954,6.62,12.53,5217.3,12.09
"21420",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Spain",11664,12028.8,6355.2,960,6.62,12.53,5308.8,12.15
"21422",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Canada",38105.12,42576.94,20424.56,3398,6.18,12.53,17680.56,11.474
"21425",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Japan",34445.25,35522.55,18767.7,2835,6.62,12.53,15677.55,12.15
"21431",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Sweden",15396.41,19408.97,8025.78,1549,5.52,12.53,7370.63,10.46
"21435",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Germany",35231.16,42376.46,18536.64,3382,5.74,12.53,16694.52,10.824
"21440",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Italy",76346.89,88850.23,40558.02,7091,5.99142857,12.53,35788.87,11.18428571
"21451",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Netherlands",8019,8269.8,4369.2,660,6.62,12.53,3649.8,12.15
"21455",2005,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","France",31143.82,35885.92,16581.48,2864,6.07,12.53,14562.34,11.305
"21463",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","United States",255807.34,291954.6,182072.73,12267,15.292,23.8,73734.61,21.80133333
"21467",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Japan",36745.4,45696,26821.4,1920,14.335,23.8,9924,19.875
"21468",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Korea",18356.55,18921,12664.35,795,15.93,23.8,5692.2,23.09
"21470",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Singapore",41852.3,43934.8,29406.78,1846,15.93,23.8,12445.52,22.73
"21471",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Australia",34785.78,41055,24873.02,1725,14.86666667,23.8,9912.76,21.1
"21472",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Netherlands",49351.03,56144.2,35039.63,2359,14.86666667,23.8,14311.4,20.94666667
"21476",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","France",133508.06,156961,95906.24,6595,14.973,23.8,37601.82,21.112
"21478",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","United Kingdom",32191.41,41055,23689.53,1725,13.80333333,23.8,8501.88,18.80333333
"21481",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Austria",45526.32,52050.6,32216.73,2187,15.1325,23.8,13309.59,21.655
"21483",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Spain",51756.2,59166.8,36801.16,2486,14.86666667,23.8,14955.04,20.94666667
"21484",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","United States",65635.98,76588.4,46962.62,3218,14.86666667,23.8,18673.36,20.94666667
"21486",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Mexico",133045.3,144228,93122.5,6060,15.53125,23.8,39922.8,22.28625
"21488",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Japan",18242.7,26061,13950.3,1095,12.74,23.8,4292.4,16.66
"21492",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Australia",35259.84,35985.6,24086.16,1512,15.93,23.8,11173.68,23.32
"21495",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Finland",43465.5,54359.2,31784.14,2284,14.335,23.8,11681.36,19.875
"21496",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Denmark",36248.78,37247,24930.45,1565,15.93,23.8,11318.33,23.16666667
"21497",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","France",59653.59,67449.2,42175.73,2834,15.292,23.8,17477.86,21.896
"21498",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Germany",48832.08,49837.2,33357.42,2094,15.93,23.8,15474.66,23.32
"21500",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Belgium",13807.82,14232.4,9526.14,598,15.93,23.8,4281.68,23.09
"21501",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Switzerland",7625.64,7782.6,5209.11,327,15.93,23.8,2416.53,23.32
"21503",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Italy",15978.28,16469.6,11023.56,692,15.93,23.8,4954.72,23.09
"21505",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","United States",450719.93,498181.6,317448.91,20932,15.49,23.8,133271.02,22.21758621
"21506",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Canada",208496.32,219959.6,144341.3,9242,15.75277778,23.8,64155.02,22.84777778
"21507",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Mexico",74400.22,84442.4,52787.34,3548,15.1325,23.8,21612.88,21.4825
"21508",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Brazil",135351.6,148535.8,94717.07,6241,15.39833333,23.8,40634.53,22.1525
"21509",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Japan",188723.82,204442,132066.46,8590,15.66416667,23.8,56657.36,22.55416667
"21510",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Korea",246428.66,279935.6,175859.14,11762,15.35,23.8,70569.52,21.74636364
"21511",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","China",346068.91,391034,246236.07,16430,15.39833333,23.8,99832.84,21.87833333
"21512",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Singapore",216808.9,248162.6,154799.94,10427,15.292,23.8,62008.96,21.684
"21513",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Australia",47888.12,54026,33743.08,2270,15.292,23.8,14145.04,21.988
"21514",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Netherlands",126510.11,130400.2,87280.47,5479,15.93,23.8,39229.64,23.09
"21515",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Sweden",61631.35,69258,43679.89,2910,15.292,23.8,17951.46,21.754
"21516",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Finland",162233.12,175049,113397.76,7355,15.611,23.8,48835.36,22.447
"21517",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Denmark",51184.69,59000.2,36549.29,2479,15.1325,23.8,14635.4,21.4225
"21518",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","France",78737.83,80491.6,53875.26,3382,15.93,23.8,24862.57,23.29125
"21519",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Germany",105821.09,120309,75151,5055,15.22111111,23.8,30670.09,21.65888889
"21520",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","United Kingdom",260749.54,283077.2,182536.36,11894,15.62619048,23.8,78213.18,22.50857143
"21521",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Belgium",128113.72,143752,90296.56,6040,15.35,23.8,37817.16,22.04636364
"21522",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Switzerland",67935.84,78682.8,48492.06,3306,15.1325,23.8,19443.78,21.50875
"21523",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Austria",83445.49,89630.8,57950.78,3766,15.53125,23.8,25494.71,22.45875
"21524",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Italy",132972.29,147274.4,93659.05,6188,15.47428571,23.8,39313.24,22.17142857
"21525",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Spain",140631.43,154247.8,98769.95,6481,15.53125,23.8,41861.48,22.28625
"21543",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Special","Switzerland",12435.06,12828.2,8586.27,539,15.93,23.8,3848.79,23.085
"21547",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Mail","United States",14269.62,14708.4,9844.74,618,15.93,23.8,4424.88,23.09
"21548",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Mail","Canada",25283.55,26061,17443.35,1095,15.93,23.8,7840.2,23.09
"21551",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Mail","Japan",12399.33,12780.6,8554.41,537,15.93,23.8,3844.92,23.09
"21556",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Mail","Netherlands",20491.8,29274,15670.2,1230,12.74,23.8,4821.6,16.66
"21569",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","E-mail","Canada",55376.38,63879.2,39483.18,2684,15.1325,23.8,15893.2,21.4825
"21572",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","E-mail","Japan",123781.71,136754.8,87064.59,5746,15.53125,23.8,36717.12,22.315
"21582",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","E-mail","Germany",118692.51,135874.2,84513.33,5709,15.292,23.8,34179.18,21.779
"21587",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","E-mail","Italy",75246.38,86037,53506.94,3615,15.1325,23.8,21739.44,21.4825
"21602",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Fax","France",10027.6,10234,6849.9,430,15.93,23.8,3177.7,23.32
"21606",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Fax","Switzerland",8768.32,8948.8,5989.68,376,15.93,23.8,2778.64,23.32
"21609",2005,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Fax","Spain",15839.74,16326.8,10927.98,686,15.93,23.8,4911.76,23.09
"21610",2005,"Camping Equipment","Cooking Gear","TrailChef Cup","Telephone","United States",62457.27,81189.78,18855.55,22183,0.85,3.66,43601.72,3.1825
